id	filename	md5	size	state
0f978961-dd8f-42b1-a7a0-417b34d957f9	1944a991-f355-461e-80c0-427bfdccc2a4.rna_seq.transcriptome.gdc_realn.bam	d2bf4f8f456250bdbd315e7285df943e	24093689945	released
a37d96a1-d07f-4871-a1c3-293f8a9737ed	1944a991-f355-461e-80c0-427bfdccc2a4.rna_seq.chimeric.gdc_realn.bam	c4b7a443cdc7a333a92f387c3bb87d13	354467271	released
f6a792d4-e301-4592-a54a-70d8479113dc	7ce6821e-2ad0-404c-b0cf-5a0eb2739589.rna_seq.genomic.gdc_realn.bam	ad0188786ac9cc5c649f7e9e8bfc737e	11858599980	released
6301b8a5-cb1a-4dfc-a333-bc3c76584a93	7ce6821e-2ad0-404c-b0cf-5a0eb2739589.rna_seq.chimeric.gdc_realn.bam	798fd7efc4f3f5245e1db593313aa677	45003625	released
36aa867a-f08f-4fbf-af16-c68b5b2e6213	7ce6821e-2ad0-404c-b0cf-5a0eb2739589.rna_seq.transcriptome.gdc_realn.bam	18a3744933c5514c87687e88f3fc1f1f	23862281737	released
815746df-f45f-4a6f-b118-f4ac1a1a4633	1944a991-f355-461e-80c0-427bfdccc2a4.rna_seq.genomic.gdc_realn.bam	9f19c777186b50e7a26b2aedb7db5faa	12047246288	released
b3c1fa45-e5e7-4bf7-9bbf-239eabb33829	ecff2531-9355-4921-953a-e8e3af839f29.rna_seq.genomic.gdc_realn.bam	cf8b8903d973f8c9ae12f609c7af25ba	10720571419	released
9274b7f8-3c41-4511-8956-b2352ead7cd7	f805802f-4440-4b99-be69-a2d35258ab26.rna_seq.genomic.gdc_realn.bam	0ea5a8fde9f5a0004327c0c1a06ada26	12310692367	released
cf6f4dd3-3e38-4c57-93b0-6f17620323ae	f805802f-4440-4b99-be69-a2d35258ab26.rna_seq.chimeric.gdc_realn.bam	4193b508031ca43267a87d702bc1f7b2	114197924	released
07dd3618-8b7c-460d-8de7-8c0f33a25345	31c76b3c-7a94-4f7e-9fb8-774fc30ffa97.rna_seq.transcriptome.gdc_realn.bam	2cf7792566b3e54c63a916558e958181	17141970097	released
ff11eddf-2fce-4b5a-b311-45f3c4b76e8e	31c76b3c-7a94-4f7e-9fb8-774fc30ffa97.rna_seq.chimeric.gdc_realn.bam	f648d3c886f2a83003c81b5d0b24a340	122249284	released
aa6d0c1a-a858-4208-b9f9-045c0a2fe84a	90d4b245-231c-4d60-bbab-eb52f72b0ee6.rna_seq.genomic.gdc_realn.bam	0f6be00d1dd510f3aa0fb8ef02a3d23c	10702690957	released
1ceb64b2-f19e-45db-8762-bc19de6b1f23	90d4b245-231c-4d60-bbab-eb52f72b0ee6.rna_seq.transcriptome.gdc_realn.bam	c2a472e9723c4a57cfe425ccb817a1a6	18221807905	released
